,date,open,close,high,low,volume,code
2195,2019-01-22,565.647,550.647,565.647,544.867,42122.0,600519
2196,2019-01-23,546.867,545.307,554.147,542.777,33624.0,600519
2197,2019-01-24,549.947,552.147,557.477,544.327,29155.0,600519
2198,2019-01-25,555.527,559.347,564.547,549.577,28986.0,600519
2199,2019-01-28,563.647,556.647,573.627,555.677,36102.0,600519
2200,2019-01-29,557.147,564.647,567.647,547.647,30342.0,600519
2201,2019-01-30,564.637,555.647,565.867,555.647,22699.0,600519
2202,2019-01-31,559.647,569.247,569.247,557.207,36696.0,600519
2203,2019-02-01,576.687,572.317,578.647,569.257,30520.0,600519
2204,2019-02-11,574.647,604.947,609.147,567.827,58140.0,600519
2205,2019-02-12,602.647,597.567,605.137,594.847,35091.0,600519
2206,2019-02-13,602.647,614.897,615.807,596.867,35677.0,600519
2207,2019-02-14,610.847,616.807,623.307,609.787,32258.0,600519
2208,2019-02-15,614.527,604.427,614.527,602.667,23237.0,600519
2209,2019-02-18,610.647,619.647,624.597,610.647,37745.0,600519
2210,2019-02-19,620.607,610.407,622.147,606.307,29501.0,600519
2211,2019-02-20,614.647,601.647,614.647,595.707,37882.0,600519
2212,2019-02-21,599.647,599.897,610.127,596.647,29850.0,600519
2213,2019-02-22,596.647,605.657,608.137,593.747,25908.0,600519
2214,2019-02-25,610.397,621.977,624.087,597.637,82622.0,600519
2215,2019-02-26,627.447,606.997,628.827,605.647,57964.0,600519
2216,2019-02-27,612.647,620.347,637.667,610.647,65942.0,600519
2217,2019-02-28,617.547,634.657,643.067,616.597,56986.0,600519
2218,2019-03-01,641.147,668.947,669.647,640.647,63840.0,600519
2219,2019-03-04,674.647,661.507,677.977,656.867,84585.0,600519
2220,2019-03-05,664.647,659.427,669.197,655.527,44830.0,600519
2221,2019-03-06,654.647,647.647,659.147,645.527,46731.0,600519
2222,2019-03-07,641.867,628.247,641.867,625.207,60180.0,600519
2223,2019-03-08,617.547,617.147,626.477,613.297,52275.0,600519
2224,2019-03-11,619.687,638.187,646.597,619.687,53057.0,600519
2225,2019-03-12,643.467,624.657,643.477,618.647,52510.0,600519
2226,2019-03-13,625.147,633.647,640.397,625.147,40561.0,600519
2227,2019-03-14,636.647,657.647,664.647,633.647,62172.0,600519
2228,2019-03-15,655.647,656.947,667.147,644.497,52400.0,600519
2229,2019-03-18,658.447,689.737,694.177,656.647,81318.0,600519
2230,2019-03-19,682.647,672.257,687.567,671.947,40634.0,600519
2231,2019-03-20,669.647,672.447,681.947,664.647,31117.0,600519
2232,2019-03-21,667.647,665.397,672.447,661.147,32573.0,600519
2233,2019-03-22,667.867,673.647,679.627,664.647,30517.0,600519
2234,2019-03-25,665.647,655.247,667.647,652.947,37270.0,600519
2235,2019-03-26,659.647,652.647,665.587,643.747,37595.0,600519
2236,2019-03-27,660.647,668.147,673.527,654.647,42807.0,600519
2237,2019-03-28,673.077,686.447,694.127,665.327,57566.0,600519
2238,2019-03-29,714.647,733.637,746.327,709.817,90933.0,600519
2239,2019-04-01,739.647,738.647,748.597,730.647,60934.0,600519
2240,2019-04-02,739.637,729.647,739.637,715.707,53227.0,600519
2241,2019-04-03,719.767,724.147,731.387,713.857,43056.0,600519
2242,2019-04-04,719.647,744.647,745.447,715.847,55772.0,600519
2243,2019-04-08,779.647,779.847,787.647,769.767,66251.0,600519
2244,2019-04-09,782.647,784.647,787.847,772.157,47989.0,600519
2245,2019-04-10,782.647,827.637,831.547,779.647,67814.0,600519
2246,2019-04-11,827.647,804.847,829.647,785.197,61102.0,600519
2247,2019-04-12,788.647,793.647,799.637,779.657,48612.0,600519
2248,2019-04-15,810.647,786.647,818.647,786.647,45522.0,600519
2249,2019-04-16,784.547,819.547,819.547,780.867,46423.0,600519
2250,2019-04-17,817.647,831.647,835.157,804.647,40761.0,600519
2251,2019-04-18,825.057,825.147,834.327,815.867,19598.0,600519
2252,2019-04-19,823.607,832.207,840.597,810.957,32379.0,600519
2253,2019-04-22,839.147,828.847,858.537,820.257,40627.0,600519
2254,2019-04-23,830.647,854.597,860.867,828.847,48852.0,600519
2255,2019-04-24,859.527,849.647,869.647,830.867,45227.0,600519
2256,2019-04-25,848.437,832.017,853.637,830.867,39801.0,600519
2257,2019-04-26,825.947,824.647,839.527,824.647,43277.0,600519
2258,2019-04-29,824.647,851.617,868.647,814.647,52572.0,600519
2259,2019-04-30,847.647,853.647,864.607,842.757,35943.0,600519
2260,2019-05-06,805.147,785.647,814.647,772.647,135099.0,600519
2261,2019-05-07,772.927,769.647,793.587,749.867,100837.0,600519
2262,2019-05-08,739.647,764.047,781.447,739.647,81882.0,600519
2263,2019-05-09,754.647,738.457,759.517,722.147,91545.0,600519
2264,2019-05-10,755.307,786.767,790.427,747.837,79907.0,600519
2265,2019-05-13,778.507,771.647,790.627,763.647,46637.0,600519
2266,2019-05-14,764.647,766.217,785.647,752.647,59983.0,600519
2267,2019-05-15,769.887,806.647,812.647,769.887,63124.0,600519
2268,2019-05-16,798.647,809.557,811.647,784.647,44540.0,600519
2269,2019-05-17,806.667,786.437,811.947,779.747,49841.0,600519
2270,2019-05-20,779.647,764.607,779.647,750.647,44407.0,600519
2271,2019-05-21,764.647,774.647,789.647,751.667,42385.0,600519
2272,2019-05-22,774.627,767.647,783.647,759.647,32041.0,600519
2273,2019-05-23,760.647,740.647,763.627,735.867,58058.0,600519
2274,2019-05-24,744.647,758.147,764.647,744.087,44034.0,600519
2275,2019-05-27,758.747,758.647,762.637,739.697,39161.0,600519
2276,2019-05-28,757.637,767.647,787.137,754.667,74772.0,600519
2277,2019-05-29,767.657,791.557,804.597,767.657,65646.0,600519
2278,2019-05-30,789.647,784.947,799.637,770.867,40247.0,600519
2279,2019-05-31,780.177,769.647,786.637,769.647,35793.0,600519
2280,2019-06-03,771.647,771.647,780.997,765.927,34479.0,600519
2281,2019-06-04,774.647,754.947,775.077,750.647,39689.0,600519
2282,2019-06-05,763.647,751.247,765.907,749.647,34067.0,600519
2283,2019-06-06,755.267,741.777,755.417,737.647,34786.0,600519
2284,2019-06-10,737.627,750.727,758.597,719.647,55502.0,600519
